user_id,signup_date,lead_source,organization_type,organization_size,expected_student_count,role_title,primary_use_case,required_features,current_solution,decision_timeframe,converted,conversion_date
USR2001,2024-04-11,Product Review Site,Individual Course Creator,51-200,100-500,Department Head,Compliance Training,"Course Creation, Certification Management, Mobile Learning, Virtual Classroom",Competitor Product,3-6 months,False,
USR2002,2024-04-04,Google Search,Individual Course Creator,201-500,100-500,Department Head,Employee Training,"Integration Capabilities, Mobile Learning, Analytics & Reporting, Content Library, Certification Management",Custom Built Solution,3-6 months,False,
USR2003,2024-04-09,Direct Traffic,Professional Training Provider,51-200,<100,Course Creator,Skills Development,"Compliance Training, Analytics & Reporting, Assessment Tools",Custom Built Solution,6+ months,False,
USR2004,2024-04-13,Education Conference,Corporate Training,51-200,<100,HR Manager,Skills Development,"Content Library, Virtual Classroom, Assessment Tools, Course Creation, Integration Capabilities",Basic Tools,1-3 months,False,
USR2005,2024-04-10,Education Conference,Corporate Training,201-500,<100,Teacher/Professor,Skills Development,"Virtual Classroom, Integration Capabilities, Content Library, Certification Management, Compliance Training, Analytics & Reporting",No LMS,1-3 months,False,
USR2006,2024-04-03,Referral,Certification Body,1000+,<100,Teacher/Professor,Professional Certification,"Assessment Tools, Certification Management, Analytics & Reporting, Course Creation, Compliance Training",No LMS,1-3 months,True,2024-04-15
USR2007,2024-04-06,Product Review Site,Individual Course Creator,51-200,100-500,Department Head,Customer Training,"Virtual Classroom, Analytics & Reporting, Course Creation, Mobile Learning",Basic Tools,3-6 months,False,
USR2008,2024-04-11,Product Review Site,Corporate Training,1-50,100-500,Course Creator,Customer Training,"Assessment Tools, Compliance Training, Certification Management, Mobile Learning, Virtual Classroom, Analytics & Reporting, Integration Capabilities",Custom Built Solution,1-3 months,False,
USR2009,2024-04-10,Education Conference,Individual Course Creator,201-500,501-1000,IT Administrator,Employee Training,"Certification Management, Compliance Training, Mobile Learning, Integration Capabilities, Analytics & Reporting",Competitor Product,Within 1 month,False,
USR2010,2024-04-02,Referral,Higher Education,201-500,501-1000,HR Manager,Professional Certification,"Course Creation, Mobile Learning, Analytics & Reporting, Virtual Classroom, Assessment Tools, Integration Capabilities",Basic Tools,3-6 months,False,
USR2011,2024-04-02,Direct Traffic,K-12 School,51-200,1000-5000,Teacher/Professor,Compliance Training,"Assessment Tools, Analytics & Reporting, Compliance Training, Virtual Classroom",Competitor Product,Within 1 month,False,
USR2012,2024-04-10,Referral,Corporate Training,201-500,100-500,Independent Instructor,Skills Development,"Mobile Learning, Assessment Tools, Analytics & Reporting, Content Library",Basic Tools,6+ months,False,
USR2013,2024-04-12,Product Review Site,Corporate Training,501-1000,501-1000,Department Head,Academic Courses,"Mobile Learning, Assessment Tools, Content Library, Course Creation, Compliance Training",Basic Tools,3-6 months,True,2024-04-15
USR2014,2024-04-09,Referral,K-12 School,51-200,100-500,IT Administrator,Customer Training,"Course Creation, Compliance Training, Assessment Tools, Virtual Classroom, Certification Management",Competitor Product,6+ months,False,
USR2015,2024-04-13,Product Review Site,Corporate Training,201-500,100-500,Training Manager,Employee Training,"Course Creation, Mobile Learning, Certification Management, Analytics & Reporting",No LMS,Just exploring,False,
USR2016,2024-04-10,Education Conference,Professional Training Provider,1-50,100-500,HR Manager,Customer Training,"Mobile Learning, Content Library, Virtual Classroom, Assessment Tools, Compliance Training, Integration Capabilities",Competitor Product,6+ months,False,
USR2017,2024-04-11,Education Conference,Higher Education,501-1000,<100,HR Manager,Academic Courses,"Course Creation, Mobile Learning, Integration Capabilities, Compliance Training, Certification Management, Assessment Tools",Custom Built Solution,3-6 months,True,2024-04-15
USR2018,2024-04-05,Product Review Site,Corporate Training,1-50,5000+,Course Creator,Academic Courses,"Analytics & Reporting, Virtual Classroom, Compliance Training",Competitor Product,3-6 months,False,
USR2019,2024-04-11,Social Media,Professional Training Provider,201-500,100-500,HR Manager,Compliance Training,"Virtual Classroom, Compliance Training, Integration Capabilities, Content Library, Course Creation",Basic Tools,Within 1 month,False,
USR2020,2024-04-11,Referral,Corporate Training,51-200,100-500,Teacher/Professor,Employee Training,"Virtual Classroom, Assessment Tools, Analytics & Reporting, Content Library, Certification Management",Basic Tools,3-6 months,True,2024-04-15
USR2021,2024-04-07,Google Search,Higher Education,51-200,501-1000,Department Head,Employee Training,"Mobile Learning, Course Creation, Certification Management, Content Library, Analytics & Reporting",Custom Built Solution,6+ months,False,
USR2022,2024-04-07,Education Conference,K-12 School,501-1000,1000-5000,Course Creator,Professional Certification,"Certification Management, Integration Capabilities, Mobile Learning, Assessment Tools",Competitor Product,Just exploring,False,
USR2023,2024-04-05,Education Conference,Higher Education,1-50,501-1000,Course Creator,Employee Training,"Virtual Classroom, Content Library, Analytics & Reporting, Certification Management",Basic Tools,6+ months,False,
USR2024,2024-04-14,Education Conference,Certification Body,201-500,501-1000,Teacher/Professor,Customer Training,"Virtual Classroom, Integration Capabilities, Content Library, Course Creation",Custom Built Solution,6+ months,False,
USR2025,2024-04-04,Direct Traffic,Individual Course Creator,201-500,1000-5000,Department Head,Employee Training,"Virtual Classroom, Compliance Training, Assessment Tools",Custom Built Solution,Within 1 month,False,
USR2026,2024-04-14,Google Search,Professional Training Provider,51-200,100-500,Training Manager,Employee Training,"Virtual Classroom, Certification Management, Assessment Tools, Course Creation, Compliance Training",No LMS,3-6 months,False,
USR2027,2024-04-10,Referral,Corporate Training,1-50,1000-5000,Course Creator,Employee Training,"Assessment Tools, Course Creation, Virtual Classroom, Compliance Training",No LMS,1-3 months,False,
USR2028,2024-04-08,Google Search,Corporate Training,201-500,501-1000,Teacher/Professor,Academic Courses,"Content Library, Virtual Classroom, Compliance Training, Analytics & Reporting, Mobile Learning",Basic Tools,Within 1 month,True,2024-04-15
USR2029,2024-04-04,Social Media,Corporate Training,1000+,<100,Training Manager,Professional Certification,"Assessment Tools, Mobile Learning, Course Creation, Content Library",Competitor Product,1-3 months,False,
USR2030,2024-04-04,Referral,Certification Body,1000+,100-500,Teacher/Professor,Skills Development,"Course Creation, Virtual Classroom, Content Library, Analytics & Reporting",Competitor Product,3-6 months,False,
USR2031,2024-04-02,Referral,Corporate Training,1000+,501-1000,Course Creator,Customer Training,"Analytics & Reporting, Integration Capabilities, Certification Management, Course Creation, Mobile Learning",Basic Tools,1-3 months,False,
USR2032,2024-04-02,Referral,Higher Education,1000+,100-500,Teacher/Professor,Compliance Training,"Certification Management, Compliance Training, Analytics & Reporting, Content Library, Mobile Learning",Basic Tools,1-3 months,False,
USR2033,2024-04-02,Product Review Site,Corporate Training,201-500,<100,Independent Instructor,Employee Training,"Integration Capabilities, Compliance Training, Assessment Tools, Course Creation, Analytics & Reporting",No LMS,Within 1 month,True,2024-04-15
USR2034,2024-04-10,Education Conference,Certification Body,1-50,100-500,Course Creator,Employee Training,"Assessment Tools, Integration Capabilities, Content Library, Certification Management",Custom Built Solution,3-6 months,False,
USR2035,2024-04-11,Social Media,Certification Body,201-500,501-1000,Teacher/Professor,Customer Training,"Certification Management, Content Library, Mobile Learning",Competitor Product,1-3 months,False,
USR2036,2024-04-07,Referral,Corporate Training,51-200,501-1000,Course Creator,Professional Certification,"Certification Management, Content Library, Mobile Learning, Integration Capabilities, Analytics & Reporting, Virtual Classroom",Custom Built Solution,Just exploring,False,
USR2037,2024-04-05,Google Search,Professional Training Provider,51-200,501-1000,Teacher/Professor,Professional Certification,"Certification Management, Course Creation, Integration Capabilities, Virtual Classroom, Analytics & Reporting",No LMS,1-3 months,True,2024-04-15
USR2038,2024-04-13,Product Review Site,Higher Education,1000+,501-1000,Independent Instructor,Customer Training,"Compliance Training, Virtual Classroom, Mobile Learning, Course Creation",No LMS,1-3 months,False,
USR2039,2024-04-05,Product Review Site,Individual Course Creator,51-200,100-500,Department Head,Professional Certification,"Mobile Learning, Compliance Training, Certification Management, Integration Capabilities, Content Library",No LMS,6+ months,False,
USR2040,2024-04-07,Education Conference,K-12 School,201-500,5000+,Independent Instructor,Customer Training,"Certification Management, Content Library, Virtual Classroom",Basic Tools,3-6 months,False,
USR2041,2024-04-06,Social Media,Corporate Training,501-1000,<100,IT Administrator,Professional Certification,"Certification Management, Virtual Classroom, Compliance Training",Custom Built Solution,1-3 months,False,
USR2042,2024-04-10,Education Conference,Professional Training Provider,51-200,501-1000,Training Manager,Customer Training,"Compliance Training, Virtual Classroom, Assessment Tools, Course Creation, Integration Capabilities",Basic Tools,3-6 months,False,
USR2043,2024-04-01,Google Search,Corporate Training,501-1000,5000+,Department Head,Academic Courses,"Virtual Classroom, Mobile Learning, Compliance Training, Certification Management, Content Library, Analytics & Reporting",Basic Tools,1-3 months,False,
USR2044,2024-04-07,Social Media,Higher Education,201-500,5000+,Teacher/Professor,Professional Certification,"Virtual Classroom, Integration Capabilities, Assessment Tools, Content Library, Course Creation, Mobile Learning",Basic Tools,Just exploring,False,
USR2045,2024-04-01,Referral,K-12 School,501-1000,100-500,HR Manager,Employee Training,"Compliance Training, Analytics & Reporting, Assessment Tools, Mobile Learning",Basic Tools,3-6 months,False,
USR2046,2024-04-11,Google Search,Corporate Training,201-500,501-1000,Course Creator,Employee Training,"Integration Capabilities, Assessment Tools, Virtual Classroom, Course Creation, Content Library, Compliance Training",No LMS,Within 1 month,False,
USR2047,2024-04-08,Direct Traffic,Corporate Training,1000+,100-500,Course Creator,Skills Development,"Compliance Training, Mobile Learning, Certification Management, Integration Capabilities, Content Library, Assessment Tools",Basic Tools,1-3 months,False,
USR2048,2024-04-11,Education Conference,Higher Education,1000+,501-1000,Training Manager,Academic Courses,"Mobile Learning, Assessment Tools, Course Creation, Compliance Training, Analytics & Reporting, Content Library, Virtual Classroom",No LMS,3-6 months,False,
USR2049,2024-04-11,Social Media,Higher Education,51-200,1000-5000,Course Creator,Employee Training,"Course Creation, Analytics & Reporting, Mobile Learning",No LMS,3-6 months,False,
USR2050,2024-04-08,Product Review Site,K-12 School,1000+,<100,Course Creator,Compliance Training,"Certification Management, Content Library, Analytics & Reporting, Mobile Learning",No LMS,1-3 months,False,
USR2051,2024-04-13,Direct Traffic,Corporate Training,1000+,100-500,HR Manager,Employee Training,"Virtual Classroom, Compliance Training, Mobile Learning, Integration Capabilities",Basic Tools,3-6 months,False,
USR2052,2024-04-09,Referral,Higher Education,201-500,100-500,Training Manager,Compliance Training,"Course Creation, Assessment Tools, Compliance Training, Content Library",Competitor Product,Just exploring,False,
USR2053,2024-04-07,Referral,K-12 School,1-50,<100,Department Head,Professional Certification,"Course Creation, Mobile Learning, Compliance Training, Analytics & Reporting, Content Library, Certification Management",Custom Built Solution,1-3 months,False,
USR2054,2024-04-09,Education Conference,K-12 School,201-500,501-1000,IT Administrator,Skills Development,"Certification Management, Integration Capabilities, Virtual Classroom, Course Creation",Basic Tools,6+ months,False,
USR2055,2024-04-10,Social Media,Certification Body,1000+,100-500,IT Administrator,Professional Certification,"Assessment Tools, Course Creation",Competitor Product,1-3 months,False,
USR2056,2024-04-04,Social Media,Higher Education,1000+,501-1000,HR Manager,Compliance Training,"Integration Capabilities, Compliance Training, Mobile Learning, Virtual Classroom",No LMS,Just exploring,False,
USR2057,2024-04-06,Direct Traffic,Higher Education,201-500,501-1000,Teacher/Professor,Compliance Training,"Mobile Learning, Analytics & Reporting, Certification Management, Integration Capabilities",Basic Tools,1-3 months,True,2024-04-15
USR2058,2024-04-04,Social Media,Higher Education,1-50,1000-5000,IT Administrator,Employee Training,"Integration Capabilities, Mobile Learning, Content Library",Basic Tools,Within 1 month,False,
USR2059,2024-04-11,Google Search,Higher Education,51-200,100-500,IT Administrator,Customer Training,"Compliance Training, Certification Management",No LMS,1-3 months,False,
USR2060,2024-04-07,Product Review Site,Higher Education,1-50,100-500,Teacher/Professor,Customer Training,"Analytics & Reporting, Assessment Tools, Certification Management",No LMS,6+ months,False,
USR2061,2024-04-03,Google Search,Individual Course Creator,51-200,501-1000,HR Manager,Customer Training,"Analytics & Reporting, Integration Capabilities, Virtual Classroom, Content Library",No LMS,1-3 months,False,
USR2062,2024-04-03,Social Media,Certification Body,1000+,100-500,Course Creator,Professional Certification,"Virtual Classroom, Compliance Training, Integration Capabilities, Analytics & Reporting",Custom Built Solution,Just exploring,False,
USR2063,2024-04-04,Referral,Corporate Training,1-50,501-1000,Training Manager,Skills Development,"Integration Capabilities, Content Library, Virtual Classroom",Competitor Product,1-3 months,True,2024-04-15
USR2064,2024-04-05,Google Search,Certification Body,1000+,100-500,Independent Instructor,Customer Training,"Analytics & Reporting, Content Library, Compliance Training, Mobile Learning, Assessment Tools",No LMS,Within 1 month,True,2024-04-15
USR2065,2024-04-03,Google Search,Corporate Training,201-500,100-500,Department Head,Compliance Training,"Analytics & Reporting, Assessment Tools, Mobile Learning, Virtual Classroom",Basic Tools,6+ months,False,
USR2066,2024-04-04,Google Search,Professional Training Provider,1000+,100-500,Independent Instructor,Skills Development,"Content Library, Virtual Classroom, Analytics & Reporting, Course Creation, Certification Management, Compliance Training, Mobile Learning",No LMS,Within 1 month,True,2024-04-15
USR2067,2024-04-10,Social Media,Certification Body,1000+,100-500,Department Head,Employee Training,"Analytics & Reporting, Course Creation, Certification Management",Basic Tools,Just exploring,False,
USR2068,2024-04-06,Google Search,Corporate Training,1-50,501-1000,Course Creator,Customer Training,"Course Creation, Assessment Tools, Virtual Classroom, Mobile Learning, Analytics & Reporting",Basic Tools,6+ months,False,
USR2069,2024-04-10,Education Conference,Corporate Training,201-500,1000-5000,Independent Instructor,Compliance Training,"Integration Capabilities, Content Library, Compliance Training, Certification Management, Mobile Learning, Virtual Classroom",Competitor Product,3-6 months,False,
USR2070,2024-04-06,Education Conference,Certification Body,1-50,<100,Course Creator,Skills Development,"Content Library, Analytics & Reporting, Integration Capabilities, Mobile Learning, Certification Management",Competitor Product,3-6 months,False,
USR2071,2024-04-09,Referral,Individual Course Creator,1-50,1000-5000,Course Creator,Compliance Training,"Compliance Training, Content Library, Assessment Tools, Certification Management, Integration Capabilities",Custom Built Solution,Within 1 month,False,
USR2072,2024-04-13,Social Media,Certification Body,1-50,100-500,IT Administrator,Skills Development,"Content Library, Integration Capabilities, Virtual Classroom, Compliance Training",No LMS,1-3 months,False,
USR2073,2024-04-04,Product Review Site,Corporate Training,1000+,100-500,Teacher/Professor,Compliance Training,"Analytics & Reporting, Course Creation, Mobile Learning, Certification Management",Custom Built Solution,Within 1 month,False,
USR2074,2024-04-01,Google Search,Corporate Training,1000+,1000-5000,Department Head,Academic Courses,"Content Library, Assessment Tools, Analytics & Reporting, Virtual Classroom",Basic Tools,1-3 months,False,
USR2075,2024-04-11,Google Search,Corporate Training,201-500,100-500,HR Manager,Employee Training,"Compliance Training, Course Creation, Assessment Tools, Content Library, Mobile Learning",Competitor Product,Within 1 month,False,
USR2076,2024-04-08,Education Conference,Individual Course Creator,201-500,100-500,Department Head,Compliance Training,"Integration Capabilities, Virtual Classroom, Analytics & Reporting, Assessment Tools, Compliance Training",Custom Built Solution,1-3 months,False,
USR2077,2024-04-08,Education Conference,Professional Training Provider,1000+,<100,Department Head,Compliance Training,"Virtual Classroom, Certification Management, Assessment Tools, Course Creation, Content Library, Analytics & Reporting",No LMS,6+ months,False,
