user_id,conversion_probability,version
USR2001,0.4378,63f1b5f0423c4c298f7384feb245ee40
USR2002,0.3829,63f1b5f0423c4c298f7384feb245ee40
USR2003,0.3777,63f1b5f0423c4c298f7384feb245ee40
USR2004,0.5065,63f1b5f0423c4c298f7384feb245ee40
USR2005,0.5681,63f1b5f0423c4c298f7384feb245ee40
USR2006,0.5155,63f1b5f0423c4c298f7384feb245ee40
USR2007,0.3742,63f1b5f0423c4c298f7384feb245ee40
USR2008,0.557,63f1b5f0423c4c298f7384feb245ee40
USR2009,0.444,63f1b5f0423c4c298f7384feb245ee40
USR2010,0.5042,63f1b5f0423c4c298f7384feb245ee40
USR2011,0.6014,63f1b5f0423c4c298f7384feb245ee40
USR2012,0.5671,63f1b5f0423c4c298f7384feb245ee40
USR2013,0.5627,63f1b5f0423c4c298f7384feb245ee40
USR2014,0.3645,63f1b5f0423c4c298f7384feb245ee40
USR2015,0.4681,63f1b5f0423c4c298f7384feb245ee40
USR2016,0.5509,63f1b5f0423c4c298f7384feb245ee40
USR2017,0.466,63f1b5f0423c4c298f7384feb245ee40
USR2018,0.6288,63f1b5f0423c4c298f7384feb245ee40
USR2019,0.4359,63f1b5f0423c4c298f7384feb245ee40
USR2020,0.4644,63f1b5f0423c4c298f7384feb245ee40
USR2021,0.3597,63f1b5f0423c4c298f7384feb245ee40
USR2022,0.478,63f1b5f0423c4c298f7384feb245ee40
USR2023,0.468,63f1b5f0423c4c298f7384feb245ee40
USR2024,0.5011,63f1b5f0423c4c298f7384feb245ee40
USR2025,0.4455,63f1b5f0423c4c298f7384feb245ee40
USR2026,0.4862,63f1b5f0423c4c298f7384feb245ee40
USR2027,0.4367,63f1b5f0423c4c298f7384feb245ee40
USR2028,0.569,63f1b5f0423c4c298f7384feb245ee40
USR2029,0.389,63f1b5f0423c4c298f7384feb245ee40
USR2030,0.4033,63f1b5f0423c4c298f7384feb245ee40
USR2031,0.2774,63f1b5f0423c4c298f7384feb245ee40
USR2032,0.6169,63f1b5f0423c4c298f7384feb245ee40
USR2033,0.6087,63f1b5f0423c4c298f7384feb245ee40
USR2034,0.5409,63f1b5f0423c4c298f7384feb245ee40
USR2035,0.4715,63f1b5f0423c4c298f7384feb245ee40
USR2036,0.4932,63f1b5f0423c4c298f7384feb245ee40
USR2037,0.5628,63f1b5f0423c4c298f7384feb245ee40
USR2038,0.5086,63f1b5f0423c4c298f7384feb245ee40
USR2039,0.36,63f1b5f0423c4c298f7384feb245ee40
USR2040,0.375,63f1b5f0423c4c298f7384feb245ee40
USR2041,0.5799,63f1b5f0423c4c298f7384feb245ee40
USR2042,0.5286,63f1b5f0423c4c298f7384feb245ee40
USR2043,0.3343,63f1b5f0423c4c298f7384feb245ee40
USR2044,0.5099,63f1b5f0423c4c298f7384feb245ee40
USR2045,0.3424,63f1b5f0423c4c298f7384feb245ee40
USR2046,0.6075,63f1b5f0423c4c298f7384feb245ee40
USR2047,0.4595,63f1b5f0423c4c298f7384feb245ee40
USR2048,0.5798,63f1b5f0423c4c298f7384feb245ee40
USR2049,0.5553,63f1b5f0423c4c298f7384feb245ee40
USR2050,0.4961,63f1b5f0423c4c298f7384feb245ee40
USR2051,0.5113,63f1b5f0423c4c298f7384feb245ee40
USR2052,0.4625,63f1b5f0423c4c298f7384feb245ee40
USR2053,0.3933,63f1b5f0423c4c298f7384feb245ee40
USR2054,0.4548,63f1b5f0423c4c298f7384feb245ee40
USR2055,0.4868,63f1b5f0423c4c298f7384feb245ee40
USR2056,0.4103,63f1b5f0423c4c298f7384feb245ee40
USR2057,0.3069,63f1b5f0423c4c298f7384feb245ee40
USR2058,0.3463,63f1b5f0423c4c298f7384feb245ee40
USR2059,0.5087,63f1b5f0423c4c298f7384feb245ee40
USR2060,0.4189,63f1b5f0423c4c298f7384feb245ee40
USR2061,0.3419,63f1b5f0423c4c298f7384feb245ee40
USR2062,0.384,63f1b5f0423c4c298f7384feb245ee40
USR2063,0.6174,63f1b5f0423c4c298f7384feb245ee40
USR2064,0.6212,63f1b5f0423c4c298f7384feb245ee40
USR2065,0.405,63f1b5f0423c4c298f7384feb245ee40
USR2066,0.6417,63f1b5f0423c4c298f7384feb245ee40
USR2067,0.4431,63f1b5f0423c4c298f7384feb245ee40
USR2068,0.5179,63f1b5f0423c4c298f7384feb245ee40
USR2069,0.5661,63f1b5f0423c4c298f7384feb245ee40
USR2070,0.568,63f1b5f0423c4c298f7384feb245ee40
USR2071,0.4389,63f1b5f0423c4c298f7384feb245ee40
USR2072,0.5156,63f1b5f0423c4c298f7384feb245ee40
USR2073,0.4025,63f1b5f0423c4c298f7384feb245ee40
USR2074,0.4806,63f1b5f0423c4c298f7384feb245ee40
USR2075,0.3979,63f1b5f0423c4c298f7384feb245ee40
USR2076,0.5983,63f1b5f0423c4c298f7384feb245ee40
USR2077,0.5046,63f1b5f0423c4c298f7384feb245ee40
USR2078,0.5423,63f1b5f0423c4c298f7384feb245ee40
USR2079,0.5479,63f1b5f0423c4c298f7384feb245ee40
USR2080,0.477,63f1b5f0423c4c298f7384feb245ee40
USR2081,0.5344,63f1b5f0423c4c298f7384feb245ee40
USR2082,0.5581,63f1b5f0423c4c298f7384feb245ee40
USR2083,0.3656,63f1b5f0423c4c298f7384feb245ee40
USR2084,0.5737,63f1b5f0423c4c298f7384feb245ee40
USR2085,0.4616,63f1b5f0423c4c298f7384feb245ee40
USR2086,0.5415,63f1b5f0423c4c298f7384feb245ee40
USR2087,0.5333,63f1b5f0423c4c298f7384feb245ee40
USR2088,0.5268,63f1b5f0423c4c298f7384feb245ee40
USR2089,0.5266,63f1b5f0423c4c298f7384feb245ee40
USR2090,0.5525,63f1b5f0423c4c298f7384feb245ee40
USR2091,0.5392,63f1b5f0423c4c298f7384feb245ee40
USR2092,0.4882,63f1b5f0423c4c298f7384feb245ee40
USR2093,0.4657,63f1b5f0423c4c298f7384feb245ee40
USR2094,0.4842,63f1b5f0423c4c298f7384feb245ee40
USR2095,0.5238,63f1b5f0423c4c298f7384feb245ee40
USR2096,0.4935,63f1b5f0423c4c298f7384feb245ee40
USR2097,0.455,63f1b5f0423c4c298f7384feb245ee40
USR2098,0.4697,63f1b5f0423c4c298f7384feb245ee40
USR2099,0.617,63f1b5f0423c4c298f7384feb245ee40
USR2100,0.4288,63f1b5f0423c4c298f7384feb245ee40
USR2101,0.4792,63f1b5f0423c4c298f7384feb245ee40
USR2102,0.4104,63f1b5f0423c4c298f7384feb245ee40
USR2103,0.456,63f1b5f0423c4c298f7384feb245ee40
USR2104,0.4904,63f1b5f0423c4c298f7384feb245ee40
USR2105,0.4232,63f1b5f0423c4c298f7384feb245ee40
USR2106,0.5982,63f1b5f0423c4c298f7384feb245ee40
USR2107,0.5468,63f1b5f0423c4c298f7384feb245ee40
USR2108,0.4775,63f1b5f0423c4c298f7384feb245ee40
USR2109,0.5257,63f1b5f0423c4c298f7384feb245ee40
USR2110,0.4226,63f1b5f0423c4c298f7384feb245ee40
USR2111,0.4421,63f1b5f0423c4c298f7384feb245ee40
USR2112,0.4789,63f1b5f0423c4c298f7384feb245ee40
USR2113,0.4389,63f1b5f0423c4c298f7384feb245ee40
USR2114,0.3677,63f1b5f0423c4c298f7384feb245ee40
USR2115,0.3903,63f1b5f0423c4c298f7384feb245ee40
USR2116,0.4357,63f1b5f0423c4c298f7384feb245ee40
USR2117,0.542,63f1b5f0423c4c298f7384feb245ee40
USR2118,0.4656,63f1b5f0423c4c298f7384feb245ee40
USR2119,0.5625,63f1b5f0423c4c298f7384feb245ee40
USR2120,0.5359,63f1b5f0423c4c298f7384feb245ee40
USR2121,0.501,63f1b5f0423c4c298f7384feb245ee40
USR2122,0.4291,63f1b5f0423c4c298f7384feb245ee40
USR2123,0.2419,63f1b5f0423c4c298f7384feb245ee40
USR2124,0.4877,63f1b5f0423c4c298f7384feb245ee40
USR2125,0.4797,63f1b5f0423c4c298f7384feb245ee40
USR2126,0.5542,63f1b5f0423c4c298f7384feb245ee40
USR2127,0.371,63f1b5f0423c4c298f7384feb245ee40
USR2128,0.3518,63f1b5f0423c4c298f7384feb245ee40
USR2129,0.5063,63f1b5f0423c4c298f7384feb245ee40
USR2130,0.4224,63f1b5f0423c4c298f7384feb245ee40
USR2131,0.3942,63f1b5f0423c4c298f7384feb245ee40
USR2132,0.3911,63f1b5f0423c4c298f7384feb245ee40
USR2133,0.5207,63f1b5f0423c4c298f7384feb245ee40
USR2134,0.4807,63f1b5f0423c4c298f7384feb245ee40
USR2135,0.5746,63f1b5f0423c4c298f7384feb245ee40
USR2136,0.4329,63f1b5f0423c4c298f7384feb245ee40
USR2137,0.5137,63f1b5f0423c4c298f7384feb245ee40
USR2138,0.5575,63f1b5f0423c4c298f7384feb245ee40
USR2139,0.5572,63f1b5f0423c4c298f7384feb245ee40
USR2140,0.5729,63f1b5f0423c4c298f7384feb245ee40
USR2141,0.511,63f1b5f0423c4c298f7384feb245ee40
USR2142,0.5589,63f1b5f0423c4c298f7384feb245ee40
USR2143,0.4917,63f1b5f0423c4c298f7384feb245ee40
USR2144,0.5181,63f1b5f0423c4c298f7384feb245ee40
USR2145,0.5185,63f1b5f0423c4c298f7384feb245ee40
USR2146,0.2696,63f1b5f0423c4c298f7384feb245ee40
USR2147,0.5504,63f1b5f0423c4c298f7384feb245ee40
USR2148,0.5825,63f1b5f0423c4c298f7384feb245ee40
USR2149,0.55,63f1b5f0423c4c298f7384feb245ee40
USR2150,0.3929,63f1b5f0423c4c298f7384feb245ee40
USR2151,0.5645,63f1b5f0423c4c298f7384feb245ee40
USR2152,0.5232,63f1b5f0423c4c298f7384feb245ee40
USR2153,0.48,63f1b5f0423c4c298f7384feb245ee40
USR2154,0.4919,63f1b5f0423c4c298f7384feb245ee40
